Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.020143,-1.7575E-05,0.033438,0,0,0,3.5207,0.040332,1.9811E-06,-0.0015768,0.023285,4.6701E-06,0.023781,0,0,0,0,0,0,package://new/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://new/meshes/base_link.STL,,胯1^u2-上半身-1;装配体23^u2-上半身-1,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
lleg1_link,-0.00603780475451132,0.0432652173398603,9.24612868935526E-07,0,0,0,0.979636763957245,0.00251560520365895,-0.000365072556023507,4.28344108421414E-09,0.0018995489926646,8.84717552428679E-07,0.00193444143078386,0,0,0,0,0,0,package://new/meshes/lleg1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://new/meshes/lleg1_link.STL,,胯2^u2-上半身-1,lleg1_cs,lleg1_axis,lleg1_joint,revolute,0,0.12,0,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
lleg2_link,0.00010061733949418,2.37883804113381E-07,-0.0741926653746036,0,0,0,2.14983323206301,0.0104948372603492,-1.83311405796717E-06,-0.000867971783911359,0.00960321083510864,-3.55742226111057E-09,0.00444081375255553,0,0,0,0,0,0,package://new/meshes/lleg2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://new/meshes/lleg2_link.STL,,大腿1^u2-上半身-1,lleg2_cs,lleg2_axis,lleg2_joint,revolute,0,0.081,0,0,0,0,lleg1_link,1,0,0,0,0,0,0,,,,,,,,
lleg3_link,-0.00147520035760751,0.0115538592250264,-0.142178702099153,0,0,0,3.07566096544526,0.01864032516675,4.19199167687482E-09,1.13111778404807E-06,0.0205507871075334,-0.0024541150672048,0.00532295407771581,0,0,0,0,0,0,package://new/meshes/lleg3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://new/meshes/lleg3_link.STL,,大腿2^u2-上半身-1,lleg3_cs,lleg3_axis,lleg3_joint,revolute,0.001,0,-0.16,0,0,0,lleg2_link,0,0,1,0,0,0,0,,,,,,,,
lleg4_link,0.0495934516573655,0.0675452210888626,-0.323293803143996,0,0,0,9.92314033980941,0.146922996808281,-0.0457107614786891,-0.0040000188411186,0.280809014107881,0.00840654106512545,0.200297617186317,0,0,0,0,0,0,package://new/meshes/lleg4_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://new/meshes/lleg4_link.STL,,小腿^u2-上半身-1;ubrep_2-1,lleg4_cs,lleg4_axis,lleg4_joint,revolute,0,0,-0.231,0,0,0,lleg3_link,0,1,0,0,0,0,0,,,,,,,,
lleg5_link,1.33226762955019E-15,0.0320213618048816,-5.42968447980741E-16,0,0,0,1.79874594583768,0.00287071191116564,7.55271795446528E-19,1.81329075331478E-19,0.0053226875569429,-5.85095369555203E-20,0.00287071191116564,0,0,0,0,0,0,package://new/meshes/lleg5_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://new/meshes/lleg5_link.STL,,从动轮^u2-上半身-1;主动轮^u2-上半身-1,lleg5_cs,lleg5_axis,lleg5_joint,revolute,0,0,-0.45,0,0,0,lleg4_link,0,1,0,0,0,0,0,,,,,,,,
rleg1_link,-0.00603780539256782,-0.0432652180016399,9.24612886699094E-07,0,0,0,0.979636781133436,0.00251560520396309,0.000365072556023481,4.28344120405104E-09,0.00189954899272825,-8.84717506498985E-07,0.00193444143102844,0,0,0,0,0,0,package://new/meshes/rleg1_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://new/meshes/rleg1_link.STL,,镜向胯2^u2-上半身-3,rleg1_cs,rleg1_axis,rleg1_joint,revolute,0,-0.12,0,0,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
rleg2_link,0.000100619795937451,-2.37857690432719E-07,-0.0741926642780467,0,0,0,2.14983336193024,0.0104948373481445,1.83311382474786E-06,-0.000867971813199864,0.00960321094763518,3.55539893429384E-09,0.00444081378081345,0,0,0,0,0,0,package://new/meshes/rleg2_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://new/meshes/rleg2_link.STL,,镜向大腿1^u2-上半身-3,rleg2_cs,rleg2_axis,rleg2_joint,revolute,0,-0.081,0,0,0,0,rleg1_link,1,0,0,0,0,0,0,,,,,,,,
rleg3_link,-0.00147520034101389,-0.011553859324014,-0.14217870309899,0,0,0,3.07566100006702,0.0186403251670117,-4.19199178992484E-09,1.13111793818448E-06,0.0205507871081295,0.00245411506720475,0.00532295407807622,0,0,0,0,0,0,package://new/meshes/rleg3_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://new/meshes/rleg3_link.STL,,镜向大腿2^u2-上半身-3,rleg3_cs,rleg3_axis,rleg3_joint,revolute,0.001,0,-0.16,0,0,0,rleg2_link,0,0,1,0,0,0,0,,,,,,,,
rleg4_link,0.0495934182530289,-0.0675453343366273,-0.323294519262967,0,0,0,9.92317149179058,0.146924061011678,0.0457115248782949,-0.00399963911496491,0.280811594340711,-0.00840701083978364,0.200300374123036,0,0,0,0,0,0,package://new/meshes/rleg4_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://new/meshes/rleg4_link.STL,,镜向小腿^u2-上半身-3;u镜向brep_2-4,rleg4_cs,rleg4_axis,rleg4_joint,revolute,0,0,-0.231,0,0,0,rleg3_link,0,1,0,0,0,0,0,,,,,,,,
