Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00023259,4.0423E-05,-0.046656,0,0,0,5.7756,0.0052299,7.4563E-10,7.8597E-07,0.010144,-1.6218E-08,0.012004,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/base_link.STL,,pelvis-1,base_cs,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch_link,-0.0012213,0.016414,-0.027239,0,0,0,1.5067,0.0032248,-0.00024603,5.0351E-05,0.0021363,0.00014642,0.0019802,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_hip_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_hip_pitch_link.STL,,left_hip_pitch_link-1,left_hip_pitch_cs,left_hip_pitch_axis,left_hip_pitch_joint,revolute,0,0.11619,-0.12455,-0.7854,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
left_hip_roll_link,0.00239930402914212,2.82153482206171E-05,-0.0785357429923388,0,0,0,1.06032431102488,0.00224449300489317,-3.85102632224031E-07,-0.000145938926025291,0.00366791938936561,9.10145785900192E-07,0.00264067416467559,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_hip_roll_link.STL,,left_hip_roll_link-1,left_hip_roll_cs,left_hip_roll_axis,left_hip_roll_joint,revolute,-0.001,0.03,-0.03,0.7854,0,0,left_hip_pitch_link,1,0,0,0,0,0,0,,,,,,,,
left_hip_yaw_link,-0.00824667353366537,-0.00665457382912182,-0.101572782860777,0,0,0,1.59880919099148,0.00349974491642003,-1.75966618084397E-05,-0.000235284190254226,0.0038818250051762,-0.000299965491007815,0.0019611015785134,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_hip_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_hip_yaw_link.STL,,left_hip_yaw_link-1,left_hip_yaw_cs,left_hip_yaw_axis,left_hip_yaw_joint,revolute,0,0,-0.13,0,0,0,left_hip_roll_link,0,0,1,0,0,0,0,,,,,,,,
left_knee_link,0.00731607228262238,0.000736685810263593,-0.129099153452609,0,0,0,1.28984466897258,0.00631704326952687,-3.9806028266042E-05,0.000228731758492731,0.00595172773872708,0.000695814693345079,0.0010080639234258,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_knee_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_knee_link.STL,,left_knee_link-1,left_knee_cs,left_knee_axis,left_knee_joint,revolute,-0.015,0,-0.151,0,0,0,left_hip_yaw_link,0,1,0,0,0,0,0,,,,,,,,
left_ankle_pitch_link,-0.0044387138374144,8.4126009621821E-06,-0.00748834371828833,0,0,0,0.0891669589723043,6.51749484427356E-06,5.35375302837415E-21,-5.10316466785101E-07,6.37127800904553E-06,1.25043812165175E-21,6.66648144958558E-06,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_ankle_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_ankle_pitch_link.STL,,left_ankle_pitch_link-1,left_ankle_pitch_cs,left_ankle_pitch_axis,left_ankle_pitch_joint,revolute,0.015,0.0005,-0.339,0,0,0,left_knee_link,0,1,0,0,0,0,0,,,,,,,,
left_ankle_roll_link,0.0443549300837193,-8.98462200360495E-07,-0.0355527645860453,0,0,0,0.881547844793558,0.000381740556686142,-6.75399624038442E-08,0.000184710835748905,0.0029330755475417,1.58624335665052E-08,0.00313560336910671,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_ankle_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_ankle_roll_link.STL,,left_ankle_roll_link-1,left_ankle_roll_cs,left_ankle_roll_axis,left_ankle_roll_joint,revolute,0,0,-0.015,0,0,0,left_ankle_pitch_link,1,0,0,0,0,0,0,,,,,,,,
right_hip_pitch_link,-0.00079629635921874,-0.0162561188211894,-0.0273857325637685,0,0,0,1.52017083816113,0.00322626880963502,0.000246031830950049,5.03591974538118E-05,0.00213677692744342,-0.000146559718370177,0.00198136140008617,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_hip_pitch_link.STL,,right_hip_pitch_link-1,right_hip_pitch_cs,right_hip_pitch_axis,right_hip_pitch_joint,revolute,0,-0.11619,-0.12455,0.7854,0,0,base_link,0,1,0,0,0,0,0,,,,,,,,
right_hip_roll_link,0.00240492934080849,-1.26529671308356E-05,-0.0785357419449366,0,0,0,1.06032432598946,0.00223827672160598,-5.83328667722445E-06,-0.0001459339186649,0.00367413566521469,-8.93898765219667E-07,0.00264067417881706,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_hip_roll_link.STL,,right_hip_roll_link-1,right_hip_roll_cs,right_hip_roll_axis,right_hip_roll_joint,revolute,-0.001,-0.03,-0.03,-0.7854,0,0,right_hip_pitch_link,1,0,0,0,0,0,0,,,,,,,,
right_hip_yaw_link,-0.00823817362161205,0.00665458594931632,-0.101578658260834,0,0,0,1.59880836931768,0.00349903927906595,1.75942956153981E-05,-0.000235277621799177,0.00388182455584,0.000299963170256548,0.00196180625285213,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_hip_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_hip_yaw_link.STL,,right_hip_yaw_link-1,right_hip_yaw_cs,right_hip_yaw_axis,right_hip_yaw_joint,revolute,0,0,-0.13,0,0,0,right_hip_roll_link,0,0,1,0,0,0,0,,,,,,,,
right_knee_link,0.00731606673007201,-0.000734229667334371,-0.129100529929607,0,0,0,1.28984471005234,0.00631704201161542,3.98351281505959E-05,0.000228720419063321,0.00595221213548503,-0.000695054071432124,0.00100757902467165,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_knee_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_knee_link.STL,,right_knee_link-1,right_knee_cs,right_knee_axis,right_knee_joint,revolute,-0.015,0,-0.151,0,0,0,right_hip_yaw_link,0,1,0,0,0,0,0,,,,,,,,
right_ankle_pitch_link,-0.00443871383727129,-8.41260096652585E-06,-0.00748834371820561,0,0,0,0.0891669589723043,6.51749484427357E-06,2.91523945975471E-21,-5.10316466785099E-07,6.37127800904554E-06,-4.83446660344572E-21,6.66648144958558E-06,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_ankle_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_ankle_pitch_link.STL,,right_ankle_pitch_link-1,right_ankle_pitch_cs,right_ankle_pitch_axis,right_ankle_pitch_joint,revolute,0.015,-0.0005,-0.339,0,0,0,right_knee_link,0,1,0,0,0,0,0,,,,,,,,
right_ankle_roll_link,0.0445976016676887,8.95774471196265E-07,-0.035822252957543,0,0,0,0.87493386091551,0.000381497469290032,6.70767676479611E-08,0.000184710847989879,0.00293292923651188,-1.47746379940164E-08,0.00313545708033482,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_ankle_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_ankle_roll_link.STL,,right_ankle_roll_link-1,right_ankle_roll_cs,right_ankle_roll_axis,right_ankle_roll_joint,revolute,0,0,-0.015,0,0,0,right_ankle_pitch_link,1,0,0,0,0,0,0,,,,,,,,
waist_yaw_link,-0.0233933590358943,1.04129640229877E-06,0.0412192683546981,0,0,0,0.236099499792213,0.000140924067474409,-6.06315677594348E-09,2.39282556267867E-05,0.000337558704926139,1.02413132024158E-09,0.000434395314276757,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/waist_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/waist_yaw_link.STL,,waist_yaw_link-1,waist_yaw_cs,waist_yaw_axis,waist_yaw_joint,revolute,0,0,0,0,0,0,base_link,0,0,1,0,0,0,0,,,,,,,,
waist_roll_link,1.11695482307717E-08,2.73530109673459E-09,-1.69066931640649E-05,0,0,0,0.0449836364526675,2.20483968965053E-06,2.1076202291478E-18,3.32333059102416E-13,7.64056475705957E-06,-5.99589344619854E-13,8.1889181473094E-06,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/waist_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/waist_roll_link.STL,,waist_roll_link-1,waist_roll_cs,waist_roll_axis,waist_roll_joint,revolute,0,0,0.0615,0,0,0,waist_yaw_link,1,0,0,0,0,0,0,,,,,,,,
waist_pitch_link,0.0240358664462041,-1.11018586460565E-05,0.242332272357342,0,0,0,7.97622898416687,0.0442929745151184,-7.76019737369181E-05,4.75082843729766E-05,0.0310209752577649,-2.91123614946874E-05,0.026851466460502,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/waist_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/waist_pitch_link.STL,,body_pitch_link-1;right_shoulder_base_link-1;left_shoulder_base_link-1,waist_pitch_cs,waist_pitch_axis,waist_pitch_joint,revolute,0,0,0,0,0,0,waist_roll_link,0,1,0,0,0,0,0,,,,,,,,
head_yaw_link,-0.00259586309511606,-0.00564871941240205,0.0870280328404222,0,0,0,0.487481653399978,0.000565578868441209,1.63482025061411E-08,3.05672556626856E-07,0.000496932211345601,1.74068877621641E-05,0.00038523570127859,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/head_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/head_yaw_link.STL,,head_yaw_link-1,head_yaw_cs,head_yaw_link,head_yaw_joint,revolute,0,0,0.4375,0,0,0,waist_pitch_link,0,0,1,0,0,0,0,,,,,,,,
head_pitch_link,0.048836163318463,0.00123238824931071,0.0369506479135983,0,0,0,1.49374762209252,0.00093846682123025,3.74690933622286E-05,9.94438227595335E-06,0.000287450012943069,4.48907724747715E-06,0.000951653294241479,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/head_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/head_pitch_link.STL,,head_pitch_link-1,head_pitch_cs,head_pitch_link,head_pitch_joint,revolute,0,0,0.142,0,0,0,head_yaw_link,0,1,0,0,0,0,0,,,,,,,,
